clearspending_url,regnum,sign_date,1st_product_description,num_products,customer_name,customer_inn,customer_kpp,1st_supp_name,1st_supp_inn,1st_supp_kpp,num_suppliers,contract_price,currency,region_name,contract_stage,fz
https://clearspending.ru/contract/1772931474517000492,1772931474517000492,2017-07-15T00:00:00,Поставка электроэнергии,1,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРАЛЬНОЕ ЖИЛИЩНО-КОММУНАЛЬНОЕ УПРАВЛЕНИЕ"" МИНИСТЕРСТВА ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ",7729314745,770101001,"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА ""НАРЬЯН-МАРСКАЯ ЭЛЕКТРОСТАНЦИЯ""",8300010188,298301001,1,5499119.4,Российский рубль,Москва,Исполнение,44
https://clearspending.ru/contract/1772931474517000501,1772931474517000501,2017-07-15T00:00:00,Поставка электроэнергии,1,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРАЛЬНОЕ ЖИЛИЩНО-КОММУНАЛЬНОЕ УПРАВЛЕНИЕ"" МИНИСТЕРСТВА ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ",7729314745,770101001,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АТОМЭНЕРГОСБЫТ""",7704228075,772501001,1,376090999.8,Российский рубль,Москва,Исполнение,44
https://clearspending.ru/contract/1772931474517000505,1772931474517000505,2017-07-15T00:00:00,Поставка электроэнергии,1,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРАЛЬНОЕ ЖИЛИЩНО-КОММУНАЛЬНОЕ УПРАВЛЕНИЕ"" МИНИСТЕРСТВА ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ",7729314745,770101001,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АТОМЭНЕРГОСБЫТ""",7704228075,772501001,1,178842495.1,Российский рубль,Москва,Исполнение,44
https://clearspending.ru/contract/2772101775817000005,2772101775817000005,2017-07-17T00:00:00,Услуги по передаче электроэнергии,1,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ГОРОДА МОСКВЫ ""ДЕТСКАЯ ШКОЛА ИСКУССТВ ИМЕНИ М.А.БАЛАКИРЕВА""",7721017758,772101001,"ПАО ""МОСЭНЕРГОСБЫТ""",7736520080,997450001,1,2011907.07,Российский рубль,Москва,Исполнение,44
https://clearspending.ru/contract/1772931474517000507,1772931474517000507,2017-07-15T00:00:00,Поставка электроэнергии,1,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРАЛЬНОЕ ЖИЛИЩНО-КОММУНАЛЬНОЕ УПРАВЛЕНИЕ"" МИНИСТЕРСТВА ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ",7729314745,770101001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРКТИК-ЭНЕРГО""",5107910347,510701001,1,693991.0,Российский рубль,Москва,Исполнение,44
https://clearspending.ru/contract/2771702355817000003,2771702355817000003,2017-07-17T00:00:00,Услуги по передаче электроэнергии,1,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ ГОРОДА МОСКВЫ ""ДВОРЕЦ КУЛЬТУРЫ ""СОДРУЖЕСТВО""",7717023558,771701001,ГБУ «Жилищник Алексеевского района»,7717799012,771701001,1,44360.16,Российский рубль,Москва,Исполнение,44
https://clearspending.ru/contract/2771702355817000004,2771702355817000004,2017-07-17T00:00:00,Услуги по передаче электроэнергии,1,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ ГОРОДА МОСКВЫ ""ДВОРЕЦ КУЛЬТУРЫ ""СОДРУЖЕСТВО""",7717023558,771701001,ГБУ «Жилищник Алексеевского района»,7717799012,771701001,1,311114.1,Российский рубль,Москва,Исполнение,44
https://clearspending.ru/contract/2770821908917000001,2770821908917000001,2017-07-17T00:00:00,Услуги по передаче электроэнергии,1,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ГОРОДА МОСКВЫ ""ДЕТСКАЯ ШКОЛА ИСКУССТВ ИМЕНИ Н.Г.РУБИНШТЕЙНА""",7708219089,770801001,"ПАО ""МОСЭНЕРГОСБЫТ""",7736520080,997450001,1,180000.0,Российский рубль,Москва,Исполнение,44
https://clearspending.ru/contract/2772425602417000011,2772425602417000011,2017-07-17T00:00:00,Услуги по передаче электроэнергии,1,УПРАВА РАЙОНА БРАТЕЕВО ГОРОДА МОСКВЫ,7724256024,772401001,"ПАО ""МОСЭНЕРГОСБЫТ""",7736520080,997450001,1,12000.0,Российский рубль,Москва,Исполнение,44
https://clearspending.ru/contract/2773616224317000005,2773616224317000005,2017-07-17T00:00:00,Услуги по передаче электроэнергии,1,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ГОРОДА МОСКВЫ ""ДЕТСКАЯ ШКОЛА ИСКУССТВ № 18""",7736162243,773601001,"ПАО ""МОСЭНЕРГОСБЫТ""",7736520080,997450001,1,234400.0,Российский рубль,Москва,Исполнение,44
