clearspending_url,regnum,sign_date,product_description,okpd2,okpd2_name,okpd,okpd_name,okdp,okdp_name,single_price,okei,product_sum,quantity,customer_name,customer_inn,customer_kpp,1st_supp_name,1st_supp_inn,1st_supp_kpp,num_suppliers,contract_price,currency,region_name,contract_stage,fz
https://clearspending.ru/contract/2773468684418000008,2773468684418000008,2018-01-30T00:00:00,Услуги по юридическим консультациям и представительству в судебных процедурах в связи с трудовым правом,69.10.13.000,Услуги по юридическим консультациям и представительству в судебных процедурах в связи с трудовым правом,-,-,-,-,1000.0,усл. ед,1000.0,1.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ШКОЛА № 138""",7734686844,773401001,"ПАО ""МОЭСК""",5036065113,997450001,1,1000.0,Российский рубль,Москва,Исполнение,44
https://clearspending.ru/contract/2770605585418000086,2770605585418000086,2018-01-30T00:00:00,Услуги по инженерно-техническому проектированию прочих объектов,71.12.19.000,Услуги по инженерно-техническому проектированию прочих объектов,-,-,-,-,1000.0,шт,1000.0,1.0,ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 1 ИМ. Н.И.ПИРОГОВА ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ,7706055854,770601001,"ПАО ""МОЭСК""",5036065113,997450001,1,1000.0,Российский рубль,Москва,Исполнение,44
https://clearspending.ru/contract/2770605585418000087,2770605585418000087,2018-01-30T00:00:00,Услуги по инженерно-техническому проектированию прочих объектов,71.12.19.000,Услуги по инженерно-техническому проектированию прочих объектов,-,-,-,-,1000.0,шт,1000.0,1.0,ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 1 ИМ. Н.И.ПИРОГОВА ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ,7706055854,770601001,"ПАО ""МОЭСК""",5036065113,997450001,1,1000.0,Российский рубль,Москва,Исполнение,44
https://clearspending.ru/contract/2773468684418000001,2773468684418000001,2018-01-30T00:00:00,Услуги по юридическим консультациям и представительству в судебных процедурах в связи с трудовым правом,69.10.13.000,Услуги по юридическим консультациям и представительству в судебных процедурах в связи с трудовым правом,-,-,-,-,1000.0,усл. ед,1000.0,1.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ШКОЛА № 138""",7734686844,773401001,"ПАО ""МОЭСК""",5036065113,997450001,1,1000.0,Российский рубль,Москва,Исполнение,44
https://clearspending.ru/contract/2773468684418000010,2773468684418000010,2018-01-31T00:00:00,Услуги по юридическим консультациям и представительству в судебных процедурах в связи с трудовым правом,69.10.13.000,Услуги по юридическим консультациям и представительству в судебных процедурах в связи с трудовым правом,-,-,-,-,1000.0,усл. ед,1000.0,1.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ШКОЛА № 138""",7734686844,773401001,"ПАО ""МОЭСК""",5036065113,997450001,1,1000.0,Российский рубль,Москва,Исполнение,44
https://clearspending.ru/contract/2773468684418000009,2773468684418000009,2018-01-30T00:00:00,Услуги по юридическим консультациям и представительству в судебных процедурах в связи с трудовым правом,69.10.13.000,Услуги по юридическим консультациям и представительству в судебных процедурах в связи с трудовым правом,-,-,-,-,1000.0,усл. ед,1000.0,1.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ШКОЛА № 138""",7734686844,773401001,"ПАО ""МОЭСК""",5036065113,997450001,1,1000.0,Российский рубль,Москва,Исполнение,44
https://clearspending.ru/contract/2773468684418000006,2773468684418000006,2018-01-30T00:00:00,Услуги по юридическим консультациям и представительству в судебных процедурах в связи с трудовым правом,69.10.13.000,Услуги по юридическим консультациям и представительству в судебных процедурах в связи с трудовым правом,-,-,-,-,1000.0,усл. ед,1000.0,1.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ШКОЛА № 138""",7734686844,773401001,"ПАО ""МОЭСК""",5036065113,997450001,1,1000.0,Российский рубль,Москва,Исполнение,44
https://clearspending.ru/contract/2773468684418000007,2773468684418000007,2018-01-30T00:00:00,Услуги по юридическим консультациям и представительству в судебных процедурах в связи с трудовым правом,69.10.13.000,Услуги по юридическим консультациям и представительству в судебных процедурах в связи с трудовым правом,-,-,-,-,1000.0,усл. ед,1000.0,1.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ШКОЛА № 138""",7734686844,773401001,"ПАО ""МОЭСК""",5036065113,997450001,1,1000.0,Российский рубль,Москва,Исполнение,44
https://clearspending.ru/contract/2773468684418000005,2773468684418000005,2018-01-30T00:00:00,Услуги по юридическим консультациям и представительству в судебных процедурах в связи с трудовым правом,69.10.13.000,Услуги по юридическим консультациям и представительству в судебных процедурах в связи с трудовым правом,-,-,-,-,1000.0,усл. ед,1000.0,1.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ШКОЛА № 138""",7734686844,773401001,"ПАО ""МОЭСК""",5036065113,997450001,1,1000.0,Российский рубль,Москва,Исполнение,44
https://clearspending.ru/contract/2773468684418000002,2773468684418000002,2018-01-30T00:00:00,Услуги по юридическим консультациям и представительству в судебных процедурах в связи с трудовым правом,69.10.13.000,Услуги по юридическим консультациям и представительству в судебных процедурах в связи с трудовым правом,-,-,-,-,1000.0,усл. ед,1000.0,1.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ШКОЛА № 138""",7734686844,773401001,"ПАО ""МОЭСК""",5036065113,997450001,1,1000.0,Российский рубль,Москва,Исполнение,44
